term,pos,comment,translation_es,comment_es
 donation process,,,,
 testing,,,,
 third-party,,,,
!,Conjunction,"Punctuation, not a conjunction, however “punctionation” is not an option in Transifex",!,
"""",Conjunction,"Punctuation, not a conjunction, however “punctionation” is not an option in Transifex","""",
$,,,,
%s,Conjunction,Do not translate or change. This is a placeholder (ex: 2%s or 1%s),,
&nbsp;,Conjunction,"&_nbsp_; [without underscores, Non-Breaking Space]",,
...,,,,
24/7,Noun,"Twenty-four hours, seven days a week. This essentially means ""all the time"" (non stop). Ex: The store is open 24/7 = The store is always open. The application runs 24/7 = The application is always running.",24/7,
2FA,Noun,"Two-factor authentication
Two-factor authentication
""Something you know, and something you have."" Login systems that require only a username and password risk being broken when someone else can obtain (or guess) those pieces of information. Services that offer two-factor authentication also require you to provide a separate confirmation that you are who you say you are. The second factor could be a one-off secret code, a number generated by a program running on a mobile device, or a device that you carry and that you can use to confirm who you are. Companies like banks, and major internet services like Google, Paypal and Twitter now offer two-factor authentication.
Synonyms: two-step verification, multi-factor authentication.
Source EFF.",,
3D bar chart,Noun,[Martus],Gráfico de barras 3D,
3rd party,Adjective,[Signal] As in “Use a 3rd party application.”,,
:,Conjunction,"Punctuation, not a conjunction, however “punctionation” is not an option in Transifex",:,
;,Conjunction,"Punctuation, not a conjunction, however “punctionation” is not an option in Transifex",;,
?,Conjunction,"Punctuation, not a conjunction, however “punctionation” is not an option in Transifex",?,
A reasonably secure operating system,Noun,[Qubes OS] This is the Qubes OS tagline.,Un sistema operativo razonablemente seguro,
A security-oriented operating system,Noun,[Qubes OS],Un sistema operativo enfocado en la seguridad,
ADIDS,Noun,what is that?,ADIPS,
API,Noun,"Application Programming Interface: ""In computer programming, an application programming interface (API) is a set of subroutine definitions, protocols, and tools for building application software."" - Wikipedia",API,"Interfaz de programación de aplicaciones
""La interfaz de programación de aplicaciones, abreviada como API del inglés: Application Programming Interface, es un conjunto de subrutinas, funciones y procedimientos (o métodos, en la programación orientada a objetos) que ofrece cierta biblioteca para ser utilizado por otro software como una capa de abstracción."" - Wikipedia"
APK,Noun,"""Android application package (APK) is the package file format used to distribute and install application software and middleware onto Google's Android operating system and sometimes on the BlackBerry OS 10."" https://en.wikipedia.org/wiki/Android_application_package",APK,"""Un archivo con extensión .apk (Android Application Package, significado en español: Aplicación empaquetada de Android) es un paquete para el sistema operativo Android."" - Wikipedia"
About,Noun,,,
Alice,,[Briar],,
American Apparel,,,,
Android,Noun,[Signal] [Orbot] Operating system,Android,Sistema operativo
Anti Evil Maid,Noun,[Qubes OS] Do not translate. Anti Evil Maid is an implementation of a TPM-based static trusted boot with a primary goal to prevent Evil Maid attacks. (Source: https://theinvisiblethings.blogspot.com/2011/09/anti-evil-maid.html),,
App Store,Noun,Apple App Store [Signal],,
AppVM,Noun,"[Qubes OS] ""Application Virtual Machine""A VM which is intended for running software applications.",AppVM,Ver TemplateVM
Apt.,,,,
Ativistas,,,,
Autocrypt Setup Message,Noun,[Enigmail] [OpenKeychain],,
Autonomous System number,Noun,,Número de sistema autónomo,
BCC,Noun,"""Blind carbon copy""",CCO; BCC,"""Copia de carbón oculta"""
Back,Adverb,,,
Back to,,,,
Backup Key File,Noun,[Martus] Also: key backup,Copia de seguridad de par de claves,
Benetech,Noun,Company name which should not be translated or transcribed.,,
BitTorrent,,,,
Bitcoin,,,,
Blow the Whistle,Noun,[Globaleaks],,
Blow the Whistle,Verb,[Globaleaks] GlobaLeaks catch phrase,,
Bob,,[Briar],,
Bug,,,,
C&C,Noun,"A command and control server (C&C or C2) is a computer that gives orders to malware-infected devices and receives information from those devices. Some C&C servers control millions of devices.
Synonyms: Command and control server, C2.
Source EFF.",,
C2,Noun,"A command and control server (C&C or C2) is a computer that gives orders to malware-infected devices and receives information from those devices. Some C&C servers control millions of devices.
Synonyms: Command and control server, C2.
Source EFF.",,
CFC program,,,,
CIDR,Noun,Classless inter-domain routing,,
CPU,Noun,,,
CSR,Noun,Certificate Signing Request,,
CSRF,Noun,,,
CVC,,,,
Cancel,Verb,,,
Card Number,,,,
Carol,,[Briar],,
Certificate Signing Request,Noun,,,
ChatSecure,Noun,Application Name,,
Chrome App,Noun,[Signal],,
Chrome OS,Noun,,,
Chrome Web Store,Noun,,,
Circuit Display,Noun,[Tor],,
Clear,Noun,,,
Clearnet,Noun,,,
Client User Interface,Noun,,Interfaz de usuario de cliente,
ClockVM,Noun,,,
Combined Federal Campaign,,,,
Command-line tool,Noun,"The ""command line"" is an ancient way of giving a computer a series of small, self-contained orders (think of those science fiction movies where teenage geniuses type long strings of green text onto black screens). To use a command line tool, the user types a command into a window called a terminal emulator, hits the return or enter key, and then receives a textual response in the same window. Windows, Linux and Apple desktop computers still let you run software using this interface, and even some mobile phones can do the same with the right app. The command line can be used to run software pre-packaged with your operating system. Some downloadable programs, especially technical utilities, use the command line instead of a more familiar ""icons and buttons"" user interface. The command line needn't be scary, but it does require you to type in exactly the right set of letters and numbers to get the correct result, and it's often unclear what to do if the responses don't match your expectations.
Source EFF.",,
Comments,,,,
Commit,Noun,,,
Commit,Verb,,cometer,
Company,,,,
Contributions,,,,
Contributors,Noun,,,
Core,,,,
Courier,Noun,"App name. Do not translate the app name. If necessary, transcribe the name into translation language and place in parentheses after the original name. Ex: Courier (كوريور)",,
"Credit Card, credit card",,,,
Cross-site scripting,Noun,,,
Crowdfunding,,,,
Crypto,Adjective,,,
Crypto,Noun,This is an abbreviation of “cryptography.”,,
Customization Template Files (*.mct),Noun,[Martus],Archivos de plantillas de personalización (*.mct),
DD,Noun,,,
DDoS,Noun,"A method for taking a website or other Internet service offline, by co-ordinating many different computers to request or send data to it simultaneously. Usually the computers used to conduct such an attack are remotely controlled by criminals, who have taken over the machines by breaking into them, or infecting them with malware.
Synonyms: distributed denial of service
Source EFF",,
DDoS (distributed denial of service),Noun,"A method for taking a website or other Internet service offline, by co-ordinating many different computers to request or send data to it simultaneously. Usually the computers used to conduct such an attack are remotely controlled by criminals, who have taken over the machines by breaking into them, or infecting them with malware. (Synonyms: DDoS) (Source EFF)",,
DHT,Noun,,,
DNS,Noun,[Orbot],DNS,
DNS record,Noun,,,
DVM,Noun,"[Qubes] An abbreviation of DispVM, typically used to refer to DVM Templates.",DVM,
DVM Template,Noun,[Qubes] TemplateBasedVMs on which DispVMs are based.,Plantilla de Máquina Virtual Desechable (DVM),
Darknet,Noun,,,
Data Retention Strategy,Noun,,,
Data Source Grid,Noun,,,
Data-Driven Dropdown (Field),Noun,[Matus],,
Date,Noun,,,
Debian-based Linux,Noun,[Signal],,
Deflect,Noun,Don't translate this,,
Desktop Client,Noun,,Cliente de escritorio,
Device Management,Noun,,,
Devtools,Noun,,,
Disconnect ,,Disconnect search service,,
